Nama Kost,Tipe,Harga,Harga_Int,Lokasi,Lokasi Clean,Deskripsi,Spesifikasi Kamar,Fasilitas Kamar,Fasilitas Kamar Mandi,Fasilitas Umum,Fasilitas Parkir,Fasilitas Lain,Link,lat,lon
Kost Singgahsini Rumah Kita Tipe A Cibeunying Kaler Bandung,Putra,Rp1.015.000,1015000,Cibeunying Kaler,Cibeunying Kaler,"Kost ini berlokasi dekat dengan jalan raya dengan akses masuk mobil, berlokasi dekat dengan Warteg Aero (1.9 km), Alfamart Bojong Koneng (1.5 km), Christian Church Pasundan Awiligar (1.3 km), Bank BJB Weekend Banking (2.1 km), Institut Teknologi Bandung (2.2 km), RS Ibu dan Anak Al Islam (2.2 km).","3 x 3 meter, Tidak termasuk listrik","Kasur, Ventilasi, Jendela, Bantal","K. Mandi Dalam, Kloset Duduk, Ember mandi, Shower","WiFi, Penjaga Kos, R. Jemur, Dapur, K. Mandi Luar","Parkir Motor, Parkir Sepeda",,https://mamikos.com/room/kost-kota-bandung-kost-putra-murah-kost-singgahsini-rumah-kita-tipe-a-cibeunying-kaler-bandung?redirection_source=landing%20area,-6.887936965838179,107.62796318077442
Kost Apik Mekar II Padasuka Tipe A Cibeunying Kidul Bandung,Campur,Rp1.015.000,1015000,Cibeunying Kidul,Cibeunying Kidul,"Kost ini berlokasi dekat dengan jalan raya dengan akses masuk mobil, berlokasi dekat dengan Alfamart Cimuncang 2 (2.0 km), Christian Church Pasundan Awiligar (2.9 km), Universitas Widyatama (2.2 km), RS Umum Hermina Arcamanik (2.1 km).","3 x 3 meter, Tidak termasuk listrik","Kasur, Meja, Lemari / Storage, Jendela, Bantal, Kursi","K. Mandi Dalam, Kloset Duduk, Ember mandi, Shower","WiFi, Kulkas, R. Tamu, Penjaga Kos, R. Jemur, Dapur, Jemuran",Parkir Motor & Sepeda,,https://mamikos.com/room/kost-kota-bandung-kost-campur-murah-kost-apik-mekar-ii-padasuka-tipe-a-cibeunying-kidul-bandung-2?redirection_source=landing%20area,-6.8970895229550155,107.65202225206447
Kost Apik Bintang Kumeli Tipe C Cibeunying Kaler Bandung,Putra,Rp975.000,975000,Cibeunying Kaler,Cibeunying Kaler,"Kost ini berlokasi dekat dengan jalan raya dengan akses masuk mobil, berlokasi dekat dengan Warteg Aero (2.4 km), Alfamart (821 m), Christian Church Pasundan Awiligar (1.9 km), Bank BJB Weekend Banking (1.6 km), Institut Teknologi Nasional Bandung (454 m), RS Ibu dan Anak Al Islam (1.5 km).","3 x 3 meter, Tidak termasuk listrik","Kasur, Meja, Lemari / Storage, Cermin, Bantal, Kursi","Kloset Duduk, K. Mandi Luar, Shower","WiFi, Kulkas, R. Tamu, Penjaga Kos, R. Jemur, Dapur, Jemuran, Rooftop","Parkir Mobil, Parkir Motor & Sepeda",,https://mamikos.com/room/kost-kota-bandung-kost-putra-murah-kost-apik-bintang-kumeli-tipe-c-cibeunying-kaler-bandung-2?redirection_source=landing%20area,-6.8857594724434605,107.62739491476799
Kost Apik Bintang Kumeli Tipe B Cibeunying Kaler Bandung,Putra,Rp1.025.000,1025000,Cibeunying Kaler,Cibeunying Kaler,"Kost ini berlokasi dekat dengan jalan raya dengan akses masuk mobil, berlokasi dekat dengan Warteg Aero (2.4 km), Alfamart (821 m), Christian Church Pasundan Awiligar (1.9 km), Bank BJB Weekend Banking (1.6 km), Institut Teknologi Nasional Bandung (454 m), RS Ibu dan Anak Al Islam (1.5 km).","4 x 4 meter, Tidak termasuk listrik","Kasur, Meja, Lemari / Storage, Ventilasi, Jendela, Cermin, Bantal, Kursi","Kloset Duduk, K. Mandi Luar, Shower","WiFi, Kulkas, R. Tamu, Penjaga Kos, R. Jemur, Dapur, Jemuran, Rooftop","Parkir Mobil, Parkir Motor & Sepeda",,https://mamikos.com/room/kost-kota-bandung-kost-putra-eksklusif-kost-apik-bintang-kumeli-tipe-b-cibeunying-kaler-bandung-2?redirection_source=landing%20area,-6.888303880677236,107.62799616627184
Kost Sukapada Cibeunying Kidul Bandung,Putri,Rp750.000,750000,Cibeunying Kidul,Cibeunying Kidul,"Kost ini berlokasi dekat dengan jalan raya dengan akses yang hanya bisa dilalui oleh motor/sepeda, berlokasi dekat dengan Alfamart Cimuncang 2 (589 m), Christian Church Pasundan Awiligar (2.5 km), Universitas Widyatama (415 m), RS Umum Santo Yusup (590 m).","3 x 3 meter, Termasuk listrik","Kasur, Meja, Lemari / Storage, Ventilasi, Jendela, Cermin","Kloset Jongkok, K. Mandi Luar, Shower","R. Cuci, Kulkas, Penjaga Kos, R. Jemur, Dapur, Jemuran, Pengurus Kos, Balcon, Taman, K. Mandi Luar","Parkir Motor, Parkir Sepeda",,https://mamikos.com/room/kost-kota-bandung-kost-putri-murah-kost-sukapada-cibeunying-kidul-bandung?redirection_source=landing%20area,-6.898004778710901,107.6506837763726
Kost Apik Mekar II Padasuka Tipe B Cibeunying Kidul Bandung,Campur,Rp925.000,925000,Cibeunying Kidul,Cibeunying Kidul,"Kost ini berlokasi dekat dengan jalan raya dengan akses masuk mobil, berlokasi dekat dengan Alfamart Cimuncang 2 (2.0 km), Christian Church Pasundan Awiligar (2.9 km), Universitas Widyatama (2.2 km), RS Umum Hermina Arcamanik (2.1 km).","3 x 3 meter, Tidak termasuk listrik","Kasur, Meja, Lemari / Storage, Jendela, Bantal, Kursi","Kloset Duduk, Kloset Jongkok, K. Mandi Luar, Ember mandi, Shower","WiFi, Kulkas, R. Tamu, Penjaga Kos, R. Jemur, Dapur, Jemuran, K. Mandi Luar",Parkir Motor & Sepeda,,https://mamikos.com/room/kost-kota-bandung-kost-campur-murah-kost-apik-mekar-ii-padasuka-tipe-b-cibeunying-kidul-bandung-2?redirection_source=landing%20area,-6.897403154799906,107.64989699802183
Kost Apik Bintang Kumeli Tipe A Cibeunying Kaler Bandung,Putra,Rp1.375.000,1375000,Cibeunying Kaler,Cibeunying Kaler,"Kost ini berlokasi dekat dengan jalan raya dengan akses masuk mobil, berlokasi dekat dengan Warteg Aero (2.4 km), Alfamart (821 m), Christian Church Pasundan Awiligar (1.9 km), Bank BJB Weekend Banking (1.6 km), Institut Teknologi Nasional Bandung (454 m), RS Ibu dan Anak Al Islam (1.5 km).","4 x 4 meter, Tidak termasuk listrik","Kasur, Meja, Lemari / Storage, Ventilasi, Jendela, Cermin, Bantal, Kursi","K. Mandi Dalam, Kloset Duduk, Shower","WiFi, Kulkas, R. Tamu, Penjaga Kos, R. Jemur, Dapur, Jemuran, Rooftop","Parkir Mobil, Parkir Motor & Sepeda",,https://mamikos.com/room/kost-kota-bandung-kost-putra-eksklusif-kost-apik-bintang-kumeli-tipe-a-cibeunying-kaler-bandung-2?redirection_source=landing%20area,-6.886725458053514,107.62871766299023
Kost Bu Sur Tipe A Cibeunying Kidul Bandung,Putri,Rp600.000,600000,Kecamatan Cibeunying Kidul,Cibeunying Kidul,"Kost ini berlokasi dekat dengan jalan raya dengan akses yang hanya bisa dilalui oleh motor/sepeda, berlokasi dekat dengan .","2 x 2 meter, Termasuk listrik","Kasur, Meja, Lemari / Storage, Ventilasi, Jendela, Cermin, Bantal, Kursi","Kloset Duduk, Kloset Jongkok, K. Mandi Luar, Ember mandi, Shower, Bak mandi","WiFi, R. Jemur, R. Santai, Dispenser, Dapur, Jemuran, Pengurus Kos, Balcon, Taman, TV","Parkir Motor, Parkir Sepeda",,https://mamikos.com/room/kost-kota-bandung-kost-putri-murah-kost-bu-sur-tipe-a-cibeunying-kidul-bandung?redirection_source=landing%20area,-6.896863639497611,107.65124706595466
Kost Rkm Tipe B Cibeunying Kidul Bandung,Campur,Rp2.250.000,2250000,Cibeunying Kidul,Cibeunying Kidul,"Kost ini berlokasi dekat dengan jalan raya dengan akses masuk mobil, berlokasi dekat dengan Warteg Cintaasih (2.5 km), Alfamart (2.7 km), Masjid Al Barokah (751 m), Bank BJB Weekend Banking (2.5 km), Universitas Widyatama (869 m), RS Ibu dan Anak Grha Bunda (886 m).","2.8 x 3 meter, Tidak termasuk listrik","AC, Kasur, Meja, TV, Lemari / Storage, Ventilasi, Jendela, Guling, Cermin, Bantal","K. Mandi Dalam, Kloset Duduk, Shower, Air panas","WiFi, R. Tamu, Penjaga Kos, R. Santai, Jemuran, Pengurus Kos, CCTV, Rooftop, Balcon, TV","Parkir Mobil, Parkir Motor, Parkir Motor & Sepeda",,https://mamikos.com/room/kost-kota-bandung-kost-campur-eksklusif-kost-rkm-tipe-b-cibeunying-kidul-bandung-2?redirection_source=landing%20area,-6.900468757733514,107.65035710058318
Kost Apik Antapani XIV 12 Tipe A Bandung,Putra,Rp850.000,850000,Antapani,Antapani,"Kost ini berlokasi dekat dengan jalan raya dengan akses masuk mobil, berlokasi dekat dengan Warteg Permata (1.9 km), PT. Indomarco Prismatama (1.5 km), Masjid Al Barokah (1.1 km), Bank Syariah Indonesia KK Bandung RS Al Islam (2.9 km), Universitas Widyatama (2.5 km), RS Ibu dan Anak Grha Bunda (1.7 km).","3 x 3 meter, Termasuk listrik","Kasur, Meja, Lemari / Storage, Ventilasi, Jendela, Bantal, Kursi","Kloset Jongkok, K. Mandi Luar, Ember mandi, Bak mandi","WiFi, Kulkas, R. Tamu, Penjaga Kos, R. Jemur, R. Makan, Dispenser, Dapur, Jemuran, Rice Cooker",Parkir Motor & Sepeda,,https://mamikos.com/room/kost-kota-bandung-kost-putra-murah-kost-apik-antapani-xiv-12-tipe-a-bandung-2?redirection_source=landing%20area,-6.917031200015419,107.66013289810999
